"year","mau"
1870,24.6847333047531
1871,24.6847333047531
1872,24.6847333047531
1873,24.6847333047531
1874,24.6847333047531
1875,24.6847333047531
1876,24.6847333047531
1877,24.6847333047531
1878,24.6847333047531
1879,24.6847333047531
1880,24.6847333047531
1881,24.6847333047531
1882,24.6847333047531
1883,24.6847333047531
1884,24.6847333047531
1885,24.6847333047531
1886,24.6847333047531
1887,24.6847333047531
1888,24.6847333047531
1889,24.6847333047531
1890,24.6847333047531
1891,24.6847333047531
1892,24.6847333047531
1893,24.6847333047531
1894,24.6847333047531
1895,24.6847333047531
1896,24.6847333047531
1897,24.6847333047531
1898,24.6847333047531
1899,24.6847333047531
1900,24.6847333047531
1901,24.6865432593883
1902,24.7424873117506
1903,24.6927300134143
1904,24.7356753006689
1905,24.5489867071093
1906,24.5044124606829
1907,24.4598382142566
1908,24.8935362531288
1909,24.9675798518437
1910,24.9977357902293
1911,24.8984724930432
1912,24.9557328760493
1913,26.0609021457555
1914,26.573926343581
1915,26.5618443087431
1916,26.7120470375646
1917,26.8216315636625
1918,26.7877061329786
1919,26.7537807022948
1920,26.6670150670735
1921,26.5802494318522
1922,26.6092322119206
1923,26.6513312866184
1924,26.6422345016335
1925,26.6064115033981
1926,26.6340544469183
1927,26.6616973904385
1928,26.6765061101815
1929,26.6752367913464
1930,26.7672431747884
1931,26.6212202231411
1932,26.6498504146442
1933,26.6241819670897
1934,26.5985135195352
1935,26.5063703744679
1936,26.3174769270799
1937,26.1285834796919
1938,25.98523507258
1939,25.7494802542721
1940,25.6250870084312
1941,25.524387714179
1942,25.4664221540423
1943,25.4084565939056
1944,25.2867900329697
1945,25.1778636721937
1946,24.9392787430016
1947,24.8389555432191
1948,24.7340251861832
1949,24.6740117916592
1950,24.3854194613083
1951,24.0968271309575
1952,24.0106677868282
1953,23.8893987659784
1954,23.7851680011801
1955,23.7901680011801
1956,23.7701680011801
1957,23.9158755237792
1958,24.3239544928619
1959,24.4949057427869
1960,24.7425497042866
1961,24.9037961539804
1962,25.0650426036742
1963,25.226289053368
1964,25.3875355030618
1965,25.5487819527557
1966,25.7100284024495
1967,25.8712748521433
1968,26.0325213018371
1969,26.1937677515309
1970,26.3550142012247
1971,26.5162606509186
1972,26.6775071006124
1973,26.8387535503062
1974,27
1975,27.1071428571429
1976,27.2142857142857
1977,27.3214285714286
1978,27.4285714285714
1979,27.5357142857143
1980,27.6428571428571
1981,27.75
1982,27.8571428571429
1983,27.9642857142857
1984,28.0714285714286
1985,28.1785714285714
1986,28.2857142857143
1987,28.3928571428571
1988,28.5
1989,28.5357142857143
1990,28.5714285714286
1991,28.6071428571429
1992,28.6428571428571
1993,28.6785714285714
1994,28.7142857142857
1995,28.75
1996,28.7857142857143
1997,28.8214285714286
1998,28.8571428571429
1999,28.8928571428571
2000,28.9285714285714
2001,28.9642857142857
2002,29
2003,29.0066666666667
2004,29.0133333333333
2005,29.02
2006,29.0266666666667
2007,29.0333333333333
2008,29.04
2009,29.0466666666667
2010,29.0533333333333
2011,29.06
2012,29.0666666666667
2013,29.0733333333333
2014,29.08
2015,29.0866666666667
2016,29.0933333333333
2017,29.1
