"year","mafm.x","mafm.y","mean"
1925,24.6847333047531,NA,24.6847333047531
1926,24.6865432593883,NA,24.6865432593883
1927,24.7424873117506,NA,24.7424873117506
1928,24.6927300134143,NA,24.6927300134143
1929,24.7356753006689,NA,24.7356753006689
1930,24.5489867071093,NA,24.5489867071093
1931,24.2887481388263,NA,24.2887481388263
1932,24.630928289687,NA,24.630928289687
1933,24.8935362531288,NA,24.8935362531288
1934,24.9675798518437,NA,24.9675798518437
1935,24.9977357902293,NA,24.9977357902293
1936,24.8984724930432,NA,24.8984724930432
1937,24.9557328760493,NA,24.9557328760493
1938,25.4029562122867,NA,25.4029562122867
1939,26.1937418465609,NA,26.1937418465609
1940,26.5860083784189,NA,26.5860083784189
1941,26.573926343581,NA,26.573926343581
1942,26.5618443087431,NA,26.5618443087431
1943,26.7120470375646,NA,26.7120470375646
1944,26.8216315636625,NA,26.8216315636625
1945,26.7877061329786,NA,26.7877061329786
1946,26.7537807022948,NA,26.7537807022948
1947,26.6670150670735,NA,26.6670150670735
1948,26.5802494318522,NA,26.5802494318522
1949,26.6092322119206,NA,26.6092322119206
1950,26.6513312866184,NA,26.6513312866184
1951,26.6422345016335,NA,26.6422345016335
1952,26.6064115033981,NA,26.6064115033981
1953,26.6340544469183,NA,26.6340544469183
1954,26.6616973904385,NA,26.6616973904385
1955,26.6765061101815,NA,26.6765061101815
1956,26.6752367913464,NA,26.6752367913464
1957,26.7672431747884,NA,26.7672431747884
1958,26.6212202231411,NA,26.6212202231411
1959,26.6498504146442,NA,26.6498504146442
1960,26.6241819670897,NA,26.6241819670897
1961,26.5985135195352,NA,26.5985135195352
1962,26.5063703744679,NA,26.5063703744679
1963,26.1285834796919,NA,26.1285834796919
1964,25.98523507258,NA,25.98523507258
1965,25.7494802542721,NA,25.7494802542721
1966,25.6250870084312,NA,25.6250870084312
1967,25.524387714179,NA,25.524387714179
1968,25.4084565939056,NA,25.4084565939056
1969,25.2867900329697,NA,25.2867900329697
1970,25.1778636721937,NA,25.1778636721937
1971,24.9392787430016,NA,24.9392787430016
1972,24.8389555432191,NA,24.8389555432191
1973,24.7340251861832,NA,24.7340251861832
1974,24.6740117916592,NA,24.6740117916592
1975,24.0968271309575,NA,24.0968271309575
1976,23.9413355736564,24.08,24.0106677868282
1977,23.8087975319569,23.97,23.8893987659784
1978,23.6703360023602,23.9,23.7851680011801
1979,23.6703360023602,23.91,23.7901680011801
1980,23.6703360023602,23.87,23.7701680011801
1981,23.8317510475585,24,23.9158755237792
1982,24.1679089857237,24.48,24.3239544928619
1983,24.2496531187049,24.63,24.4398265593524
1984,24.3799698524429,24.72,24.5499849262215
1985,24.6950994085732,24.79,24.7425497042866
1986,25.0722281380273,24.88,24.9761140690136
1987,25.2005703757996,24.97,25.0852851878998
1988,25.4817386013193,25.12,25.3008693006596
1989,25.9559561181168,25.33,25.6429780590584
1990,26.1137747599489,25.59,25.8518873799745
1991,26.360586755665,25.93,26.1452933778325
1992,26.5373041445976,26.21,26.3736520722988
1993,27.0200684082182,26.55,26.7850342041091
1994,27.2718166438486,26.87,27.0709083219243
1995,27.5694719106821,27.11,27.339735955341
1996,27.6292004136454,27.41,27.5196002068227
1997,28.242945559647,27.63,27.9364727798235
1998,28.3182995056845,27.81,28.0641497528423
1999,28.576958477195,27.98,28.2784792385975
2000,NA,28.13,28.13
2001,NA,28.39,28.39
2002,NA,28.6,28.6
2003,NA,28.86,28.86
2004,NA,29.16,29.16
2005,NA,29.4,29.4
2006,NA,29.75,29.75
2007,NA,29.9,29.9
2008,NA,30.18,30.18
2009,NA,30.57,30.57
2010,NA,31.01,31.01
2011,NA,31.42,31.42
2012,NA,31.68,31.68
2013,NA,32.18,32.18
2014,NA,32.28,32.28
2015,NA,32.66,32.66
2016,NA,32.93,32.93
2017,NA,33.18,33.18
